i,j,k,l,spatial(k1),force(k2),k3,k4
0,1,,,.41,5000
1,2,,,.41,5000
2,3,,,.41,5000
3,4,,,.41,5000
4,5,,,.41,5000
5,6,,,.41,5000
6,7,,,.41,5000
7,8,,,.41,5000
8,9,,,.41,5000
9,10,,,.41,5000
10,11,,,.41,5000
11,12,,,.41,5000
12,13,,,.41,5000
13,14,,,.41,5000
14,15,,,.41,5000
15,16,,,.41,5000
16,17,,,.41,5000
17,18,,,.41,5000
18,19,,,.41,5000
0,1,2,,170,40
1,2,3,,129,40
2,3,4,,170,40
3,4,5,,129,40
4,5,6,,170,40
5,6,7,,129,40
6,7,8,,170,40
7,8,9,,129,40
8,9,10,,170,40
9,10,11,,129,40
10,11,12,,170,40
11,12,13,,129,40
12,13,14,,170,40
13,14,15,,129,40
14,15,16,,170,40
15,16,17,,129,40
16,17,18,,170,40
17,18,19,,129,40
20,21,,,.36,7000
21,22,,,.36,7000
22,23,,,.36,7000
23,24,,,.36,7000
24,25,,,.36,7000
25,26,,,.36,7000
26,27,,,.36,7000
27,28,,,.36,7000
28,29,,,.36,7000
29,30,,,.29,7000
20,21,22,,123,80
21,22,23,,123,80
22,23,24,,123,80
23,24,25,,123,80
24,25,26,,123,80
25,26,27,,123,80
26,27,28,,123,80
27,28,29,,123,80
28,29,30,,127,110
20,21,22,23,-2.73,4.37,-.113,-3.638
21,22,23,24,-2.73,4.37,-.113,-3.638
22,23,24,25,-2.73,4.37,-.113,-3.638
23,24,25,26,-2.73,4.37,-.113,-3.638
24,25,26,27,-2.73,4.37,-.113,-3.638
25,26,27,28,-2.73,4.37,-.113,-3.638
26,27,28,29,-2.73,4.37,-.113,-3.638
19,20,,,.43,2000
