i,j,k,l,spatial(k1),force(k2),k3,k4
0,1,,,.29,7000
1,2,,,.36,7000
0,1,2,,127,110
2,3,,,.43,2000
1,2,3,,135,20
2,3,4,,135,20
3,4,,,.48,5000
4,5,,,.48,5000
5,6,,,.48,5000
3,4,5,,140,30
4,5,6,,140,30
6,7,,,.43,2000
5,6,7,,135,20
6,7,8,,135,20
7,8,,,.36,7000
8,9,,,.36,7000
7,8,9,,123,80
9,10,,,.43,2000
8,9,10,,135,20
9,10,11,,135,20
10,11,,,.48,5000
11,12,,,.48,5000
12,13,,,.48,5000
10,11,12,,140,30
11,12,13,,140,30
13,14,,,.43,2000
12,13,14,,135,20
13,14,15,,135,20
14,15,,,.36,7000
15,16,,,.36,7000
16,17,,,.36,7000
17,18,,,.36,7000
18,19,,,.36,7000
19,20,,,.29,7000
14,15,16,,123,80
15,16,17,,123,80
16,17,18,,123,80
17,18,19,,123,80
18,19,20,,127,110
14,15,16,17,-2.73,4.37,-.113,-3.638
15,16,17,18,-2.73,4.37,-.113,-3.638
16,17,18,19,-2.73,4.37,-.113,-3.638
