i,j,k,l,spatial(k1),force(k2),k3,k4
0,1,,,.48,5000
1,2,,,.48,5000
2,3,,,.48,5000
3,4,,,.48,5000
4,5,,,.48,5000
5,6,,,.48,5000
6,7,,,.48,5000
7,8,,,.48,5000
8,9,,,.48,5000
0,1,2,,140,30
1,2,3,,140,30
2,3,4,,140,30
3,4,5,,140,30
4,5,6,,140,30
5,6,7,,140,30
6,7,8,,140,30
7,8,9,,140,30
