Index,Bead,Rel Position x,Rel Position y,Rel Position z
1,C4,0.0,0.0,0.0
2,C4,0.282842712474619,0.33284271247461905,0.1
3,C4,0.7023945254791337,0.485916085420655,0.2
4,C4,1.1023945254791339,0.435916085420655,0.30000000000000004
5,C4,1.4219463384836486,0.2828427124746191,0.4
6,C4,1.7047890509582677,0.050000000000000114,0.5
7,C4,1.9078624239043036,-0.31955181300451463,0.6
8,C4,1.9078624239043036,-0.7695518130045147,0.7
9,C4,1.704789050958268,-1.1391036260090295,0.7999999999999999
10,C4,1.4219463384836488,-1.3719463384836486,0.8999999999999999
11,SN3r,1.4219463384836488,-1.3719463384836486,1.38
12,SN3r,1.7047890509582677,-1.0391036260090294,1.48
13,SN3r,2.1243408639627823,-0.8860302530629934,1.58
14,SN3r,2.5243408639627822,-0.9360302530629935,1.6800000000000002
15,SN3r,2.843892676967297,-1.0891036260090294,1.7800000000000002
16,SN3r,3.126735389441916,-1.3219463384836485,1.8800000000000003
17,SN3r,3.3298087623879518,-1.6914981514881633,1.9800000000000004
18,SN3r,3.3298087623879518,-2.1414981514881632,2.0800000000000005
19,SN3r,3.126735389441916,-2.511049964492678,2.1800000000000006
20,SN3r,2.843892676967297,-2.743892676967297,2.2800000000000007
21,TP1,2.5243408639627822,-2.896966049913333,2.380000000000001
