i,j,k,l,spacial,force
0,1,,,0.29,7000
1,2,,,0.29,7000
0,2,,,0.29,7000
2,3,,,0.22,1250
0,2,3,,180,35
3,4,,,0.22,1250
2,3,4,,180,30
4,5,,,0.29,7000
5,6,,,0.29,7000
4,6,,,0.29,7000
3,4,6,,180,35
