Index,Bead,Rel Position x,Rel Position y,Rel Position z
1,TP1,0,0,0
2,SN3r,0.10307337294603593,0.36955181300451473,0.1
3,SN3r,2.220446049250313e-16,-4.632630023765268e-17,0.2
4,C4,2.220446049250313e-16,-4.632630023765268e-17,0.6799999999999999
5,C4,0.2828427124746193,-0.23284271247461907,0.7799999999999999
6,C4,0.1797693395285836,-0.6023945254791339,0.8799999999999999
7,C4,-0.22023066047141643,-0.652394525479134,0.9799999999999999
8,SN3r,-0.22023066047141643,-0.652394525479134,1.46
9,C4,-0.22023066047141643,-0.652394525479134,1.94
10,C4,-0.22023066047141643,-0.652394525479134,2.42
11,C4,0.06261205200320263,-0.885237237953753,2.52
12,C4,-0.04046132094283307,-1.2547890509582678,2.62
13,SN3r,-0.04046132094283307,-1.2547890509582678,3.1
14,SN3r,0.242381391531786,-1.4876317634328868,3.2
15,SN3r,0.13930801858575032,-1.8571835764374016,3.3000000000000003
16,SN3r,-0.2606919814142497,-1.9071835764374017,3.4000000000000004
17,SN3r,-0.46376535436028554,-1.5376317634328869,3.5000000000000004
18,SN3r,-0.1809226418856669,-1.2047890509582675,3.6000000000000005
19,TP1,0.23862917111884813,-1.3578624239043027,3.8000000000000007
