i,j,k,l,spacial,force
0,1,,,0.374,7500
1,2,,,0.387,7500
2,3,,,0.406,7500
3,4,,,0.357,7500
4,5,,,0.258,7500
5,6,,,0.353,7500
5,9,,,0.318,7500
4,12,,,0.198,7500
12,13,,,0.227,7500
6,7,,,0.270,1000
6,8,,,0.270,1000
7,8,,,0.270,1000
9,10,,,0.270,1000
9,11,,,0.270,1000
10,11,,,0.270,1000
12,22,,,0.223,7500
13,22,,,0.342,7500
13,14,,,0.382,7500
14,15,,,0.519,7500
14,16,,,0.609,7500
16,17,,,0.578,7500
17,18,,,0.289,7500
16,18,,,0.469,7500
16,21,,,0.138,7500
18,19,,,0.349,7500
18,20,,,0.249,7500
21,23,,,0.368,7500
21,22,,,0.369,7500
23,24,,,0.238,7500
24,25,,,0.270,1000
24,26,,,0.270,1000
25,26,,,0.270,1000
0,1,2,,153,100
1,2,3,,94,100
2,3,4,,130,100
3,4,5,,84,100
3,4,12,,146,100
4,5,6,,107,100
4,5,9,,75,100
4,12,13,,80,100
4,13,22,,158,100
5,6,7,,173,100
5,6,8,,109,100
5,9,10,,143,100
5,9,11,,105,100
12,13,21,,95,100
12,13,14,,127,100
12,21,23,,85,100
13,22,21,,60,100
13,14,15,,52,100
13,14,16,,36,100
14,16,21,,53,100
14,16,17,,85,100
14,16,18,,48,100
15,16,23,,31,100
16,18,20,,120,100
17,18,19,,115,100
17,18,20,,121,100
17,16,18,,30,100
21,17,18,,54,100
21,18,19,,105,100
21,23,25,,125,100
22,21,12,,75,100
22,21,23,,96,100
23,24,25,,128,100
23,24,26,,165,100
