i,j,k,l,spacial,force
0,1,,,0.25,7000
1,2,,,0.29,30000
2,3,,,0.29,30000
1,3,,,0.29,30000
3,4,,,0.22,1250
4,5,,,0.22,1250
5,6,,,0.29,30000
6,7,,,0.29,30000
5,7,,,0.29,30000
7,8,,,0.25,7000
0,1,3,,180,35
1,3,4,,180,35
3,4,5,,180,30
4,5,7,,180,35
5,7,9,,180,35
