Index,Bead,Rel Position x,Rel Position y,Rel Position z
1,P2,0.0,0.0,0.0
2,C1,0.282842712474619,0.33284271247461905,0.1
3,P2,0.7023945254791337,0.485916085420655,0.2
4,C1,1.1023945254791339,0.435916085420655,0.30000000000000004
5,P2,1.4219463384836486,0.2828427124746191,0.4
6,C1,1.7047890509582677,0.050000000000000114,0.5
7,P2,1.9078624239043036,-0.31955181300451463,0.6
8,C1,1.9078624239043036,-0.7695518130045147,0.7
9,P2,1.704789050958268,-1.1391036260090295,0.7999999999999999
10,C1,1.4219463384836488,-1.3719463384836486,0.8999999999999999
11,P2,1.102394525479134,-1.5250197114296842,0.9999999999999999
12,C1,0.7023945254791341,-1.5750197114296842,1.0999999999999999
13,P2,0.2828427124746194,-1.4219463384836482,1.2
14,C1,2.902042694173896e-16,-1.0891036260090292,1.3
15,P2,-0.10307337294603557,-0.7195518130045143,1.4000000000000001
16,C1,-0.10307337294603561,-0.3695518130045143,1.5000000000000002
17,P2,4.163336342344337e-17,5.918818653188283e-16,1.6000000000000003
18,C1,0.2828427124746187,0.33284271247461994,1.7000000000000004
19,P2,0.7023945254791335,0.48591608542065595,1.8000000000000005
20,C1,1.1023945254791334,0.4359160854206561,1.9000000000000006
21,SN3r,1.1023945254791334,0.4359160854206561,2.380000000000001
22,SN3r,1.3852372379537523,0.7687587978952752,2.480000000000001
23,SN3r,1.8047890509582671,0.9218321708413112,2.580000000000001
24,SN3r,2.2047890509582673,0.8718321708413111,2.680000000000001
25,SN3r,2.5243408639627822,0.7187587978952752,2.780000000000001
26,SN3r,2.807183576437401,0.4859160854206562,2.8800000000000012
27,SN3r,3.010256949383437,0.11636427241614147,2.9800000000000013
28,SN3r,3.010256949383437,-0.33363572758385857,3.0800000000000014
29,SN3r,2.807183576437401,-0.7031875405883734,3.1800000000000015
30,SN3r,2.5243408639627822,-0.9360302530629925,3.2800000000000016
31,TP1,2.2047890509582673,-1.089103626009028,3.3800000000000017
