i,j,k,l,spatial(k1),force(k2),k3,k4
0,1,,,.29,7000
1,2,,,.36,7000
2,3,,,.36,7000
3,4,,,.36,7000
4,5,,,.36,7000
5,6,,,.36,7000
6,7,,,.36,7000
7,8,,,.36,7000
8,9,,,.36,7000
9,10,,,.36,7000
10,11,,,.29,7000
0,1,2,,127,110
1,2,3,,123,80
2,3,4,,123,80
3,4,5,,123,80
4,5,6,,123,80
5,6,7,,123,80
6,7,8,,123,80
7,8,9,,123,80
8,9,10,,123,80
9,10,11,,127,110
1,2,3,4,-2.73,4.37,-.113,-3.638
2,3,4,5,-2.73,4.37,-.113,-3.638
3,4,5,6,-2.73,4.37,-.113,-3.638
4,5,6,7,-2.73,4.37,-.113,-3.638
5,6,7,8,-2.73,4.37,-.113,-3.638
6,7,8,9,-2.73,4.37,-.113,-3.638
7,8,9,10,-2.73,4.37,-.113,-3.638
