i,j,k,l,spacial,force
0,1,,,0.25,7000
1,2,,,0.25,7000
2,3,,,0.29,30000
3,4,,,0.29,30000
2,4,,,0.29,30000
4,5,,,0.22,1250
5,6,,,0.22,1250
6,7,,,0.29,30000
7,8,,,0.29,30000
6,8,,,0.29,30000
8,9,,,0.25,7000
1,2,4,,180,35
2,4,5,,180,35
4,5,6,,180,30
5,6,8,,180,35
6,8,9,,180,35
