i,j,k,l,spacial,force
0,1,,,0.4,7000
1,2,,,0.42,1350
2,3,,,0.312,2500
2,4,,,0.47,5000
4,5,,,0.47,3800
5,6,,,0.47,3800
3,7,,,0.47,3600
7,8,,,0.47,3800
8,9,,,0.47,3800
1,2,3,,108,21.5
1,2,4,,139.1,31.2
2,4,5,,180,35
4,5,6,,180,35
3,7,8,,180,35
7,8,9,,180,35
