i,j,k,l,spacial,force
0,1,,,0.3,7000
1,2,,,0.35,7000
2,3,,,0.3,7000
3,4,,,0.25,7000
4,5,,,0.29,30000
5,6,,,0.29,30000
4,6,,,0.29,30000
3,4,6,,180,35
6,7,,,0.22,1250
4,6,7,,180,35
7,8,,,0.22,1250
6,7,8,,180,30
8,9,,,0.29,30000
9,10,,,0.29,30000
8,10,,,0.29,30000
7,8,10,,180,35
10,11,,,0.25,7000
8,10,11,,180,35
11,12,,,0.3,7000
