i,j,k,l,spatial(k1),force(k2),k3,k4
0,1,,,.29,7000
1,2,,,.36,7000
0,1,2,,127,110
1,2,3,,123,80
1,2,3,4,0.6570, -1.3278, -0.43661278, 1.0808704, 0.680055
