i,j,k,l,spacial,force
-1,0,,,,
0,1,,,0.25,7000
1,2,,,0.29,6999
2,3,,,0.29,6999
1,3,,,0.29,6999
0,1,3,,180,35
3,4,,,0.22,1250
1,3,4,,180,35
4,5,,,0.22,1250
3,4,5,,180,30
5,6,,,0.29,6999
6,7,,,0.29,6999
5,7,,,0.29,6999
4,5,7,,180,35
7,8,,,0.25,7000
5,7,8,,180,35
-1,8,,,,
